fixed_acidity,volatile_acidity,citric_acid,residual_sugar,free_sulfur_dioxide,total_sulfur_dioxide,ph,class
7.4,0.7,0.0,1.9,11.0,34.0,3.51,1
7.8,0.88,0.0,2.6,25.0,67.0,3.2,1
7.8,0.76,0.04,2.3,15.0,54.0,3.26,1
11.2,0.28,0.56,1.9,17.0,60.0,3.16,1
7.4,0.7,0.0,1.9,11.0,34.0,3.51,1
7.4,0.66,0.0,1.8,13.0,40.0,3.51,1
7.9,0.6,0.06,1.6,15.0,59.0,3.3,1
7.3,0.65,0.0,1.2,15.0,21.0,3.39,1
7.8,0.58,0.02,2.0,9.0,18.0,3.36,1
7.5,0.5,0.36,6.1,17.0,102.0,3.35,1
6.7,0.58,0.08,1.8,15.0,65.0,3.28,1
7.5,0.5,0.36,6.1,17.0,102.0,3.35,1
5.6,0.615,0.0,1.6,16.0,59.0,3.58,1
7.8,0.61,0.29,1.6,9.0,29.0,3.26,1
8.9,0.62,0.18,3.8,52.0,145.0,3.16,1
8.9,0.62,0.19,3.9,51.0,148.0,3.17,1
8.5,0.28,0.56,1.8,35.0,103.0,3.3,1
8.1,0.56,0.28,1.7,16.0,56.0,3.11,1
7.4,0.59,0.08,4.4,6.0,29.0,3.38,1
7.9,0.32,0.51,1.8,17.0,56.0,3.04,1
8.9,0.22,0.48,1.8,29.0,60.0,3.39,1
7.6,0.39,0.31,2.3,23.0,71.0,3.52,1
7.9,0.43,0.21,1.6,10.0,37.0,3.17,1
8.5,0.49,0.11,2.3,9.0,67.0,3.17,1
6.9,0.4,0.14,2.4,21.0,40.0,3.43,1
6.3,0.39,0.16,1.4,11.0,23.0,3.34,1
7.6,0.41,0.24,1.8,4.0,11.0,3.28,1
7.9,0.43,0.21,1.6,10.0,37.0,3.17,1
7.1,0.71,0.0,1.9,14.0,35.0,3.47,1
7.8,0.645,0.0,2.0,8.0,16.0,3.38,1
6.7,0.675,0.07,2.4,17.0,82.0,3.35,1
6.9,0.685,0.0,2.5,22.0,37.0,3.46,1
8.3,0.655,0.12,2.3,15.0,113.0,3.17,1
6.9,0.605,0.12,10.7,40.0,83.0,3.45,1
5.2,0.32,0.25,1.8,13.0,50.0,3.38,1
7.8,0.645,0.0,5.5,5.0,18.0,3.4,1
7.8,0.6,0.14,2.4,3.0,15.0,3.42,1
8.1,0.38,0.28,2.1,13.0,30.0,3.23,1
5.7,1.13,0.09,1.5,7.0,19.0,3.5,1
7.3,0.45,0.36,5.9,12.0,87.0,3.33,1
7.3,0.45,0.36,5.9,12.0,87.0,3.33,1
8.8,0.61,0.3,2.8,17.0,46.0,3.26,1
7.5,0.49,0.2,2.6,8.0,14.0,3.21,1
8.1,0.66,0.22,2.2,9.0,23.0,3.3,1
6.8,0.67,0.02,1.8,5.0,11.0,3.48,1
4.6,0.52,0.15,2.1,8.0,65.0,3.9,1
7.7,0.935,0.43,2.2,22.0,114.0,3.25,1
8.7,0.29,0.52,1.6,12.0,37.0,3.25,1
6.4,0.4,0.23,1.6,5.0,12.0,3.34,1
5.6,0.31,0.37,1.4,12.0,96.0,3.32,1
8.8,0.66,0.26,1.7,4.0,23.0,3.15,1
6.6,0.52,0.04,2.2,8.0,15.0,3.4,1
6.6,0.5,0.04,2.1,6.0,14.0,3.39,1
8.6,0.38,0.36,3.0,30.0,119.0,3.2,1
7.6,0.51,0.15,2.8,33.0,73.0,3.17,1
7.7,0.62,0.04,3.8,25.0,45.0,3.34,1
10.2,0.42,0.57,3.4,4.0,10.0,3.04,1
7.5,0.63,0.12,5.1,50.0,110.0,3.26,1
7.8,0.59,0.18,2.3,17.0,54.0,3.43,1
